"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","EQ","24-Jan-2020","        480.25","        480.30","        485.10","        476.45","        484.65","        483.40","        482.42","    7481130","          3609061420.60","      98666","    2703368","         36.14"
"TATASTEEL","EQ","27-Jan-2020","        483.40","        477.75","        477.75","        460.10","        460.55","        462.45","        466.71","   12963119","          6050040151.80","     135612","    3353039","         25.87"
"TATASTEEL","EQ","28-Jan-2020","        462.45","        460.00","        462.00","        442.00","        448.90","        446.25","        451.55","   18015283","          8134839761.20","     174202","    5369192","         29.80"
"TATASTEEL","EQ","29-Jan-2020","        446.25","        452.80","        459.70","        449.60","        450.45","        452.20","        454.69","   11081834","          5038852123.95","     107296","    2050087","         18.50"
"TATASTEEL","EQ","30-Jan-2020","        452.20","        451.90","        454.45","        441.40","        448.20","        448.55","        447.37","   14652016","          6554832560.05","     131714","    3326007","         22.70"
"TATASTEEL","EQ","31-Jan-2020","        448.55","        453.00","        454.25","        436.45","        438.50","        438.70","        444.51","   10738727","          4773521334.00","     105534","    2393283","         22.29"
"TATASTEEL","EQ","01-Feb-2020","        438.70","        431.50","        440.00","        420.10","        422.60","        423.80","        431.17","   12915212","          5568621704.00","     107938","    1406824","         10.89"
"TATASTEEL","EQ","03-Feb-2020","        423.80","        418.00","        439.00","        416.60","        438.70","        436.05","        427.35","   16237126","          6938896142.50","     158028","    2633667","         16.22"
"TATASTEEL","EQ","04-Feb-2020","        436.05","        442.00","        453.40","        433.45","        452.45","        451.90","        446.32","   13336263","          5952188084.80","     126255","    2421433","         18.16"
"TATASTEEL","EQ","05-Feb-2020","        451.90","        452.25","        479.70","        448.00","        477.90","        475.05","        462.61","   16056765","          7428094432.45","     167240","    4073896","         25.37"
"TATASTEEL","EQ","06-Feb-2020","        475.05","        478.00","        487.25","        471.60","        476.80","        477.60","        481.07","   16666074","          8017549957.10","     170741","    3096564","         18.58"
"TATASTEEL","EQ","07-Feb-2020","        477.60","        475.70","        479.70","        468.85","        470.25","        471.00","        473.15","   11649909","          5512185950.70","     146151","    1511735","         12.98"
"TATASTEEL","EQ","10-Feb-2020","        471.00","        460.25","        463.25","        440.00","        443.15","        443.80","        447.71","   26796048","         11996813737.10","     249715","    4263368","         15.91"
"TATASTEEL","EQ","11-Feb-2020","        443.80","        448.35","        457.70","        442.70","        445.00","        444.10","        451.05","   16824371","          7588614424.95","     150061","    1731791","         10.29"
"TATASTEEL","EQ","12-Feb-2020","        444.10","        450.00","        454.50","        442.55","        448.35","        447.95","        448.06","   11785858","          5280796934.20","     120023","    1297394","         11.01"
"TATASTEEL","EQ","13-Feb-2020","        447.95","        448.75","        451.70","        439.35","        440.00","        441.25","        443.43","    9965221","          4418899311.95","      92151","    1609772","         16.15"
"TATASTEEL","EQ","14-Feb-2020","        441.25","        441.00","        445.55","        433.35","        434.50","        434.55","        440.30","    9484817","          4176185868.10","      91279","     764532","          8.06"
"TATASTEEL","EQ","17-Feb-2020","        434.55","        435.50","        440.90","        433.00","        437.95","        436.85","        437.28","    9724765","          4252482852.50","      90008","    1308987","         13.46"
